band,importance,band_number
OLCI_12,0.1378618476446718,12
OLCI_1,0.13710485119372606,1
OLCI_2,0.12152842688374221,2
OLCI_6,0.11624425591435283,6
OLCI_3,0.11196203931467608,3
OLCI_4,0.11123467946890742,4
OLCI_5,0.1089205433963798,5
OLCI_16,0.10592022410128266,16
OLCI_21,0.10109814291354269,21
OLCI_11,0.09646558540407568,11
OLCI_18,0.09185426420299336,18
OLCI_19,0.08987338573206216,19
OLCI_10,0.08392378932330757,10
OLCI_20,0.07738810288719833,20
OLCI_14,0.06588979996740818,14
OLCI_15,0.06369435245869681,15
OLCI_17,0.06303869950352237,17
OLCI_13,0.05534031521528959,13
OLCI_9,0.0449262909241952,9
OLCI_8,0.03721964405849576,8
OLCI_7,0.03234086825978011,7
