band,importance,band_number
OLCI_20,0.07093122796504758,20
OLCI_14,0.06748147093458101,14
OLCI_13,0.06425111758289859,13
OLCI_15,0.06277453619986773,15
OLCI_2,0.060072451655287296,2
OLCI_21,0.05864006339106709,21
OLCI_4,0.05815167078981176,4
OLCI_1,0.05803427891805768,1
OLCI_6,0.052986196300480515,6
OLCI_18,0.05168259842321277,18
OLCI_9,0.04969546812935732,9
OLCI_11,0.046821424388326705,11
OLCI_19,0.04603775932628196,19
OLCI_17,0.04549992686952464,17
OLCI_5,0.0447235535539221,5
OLCI_12,0.043493965626112185,12
OLCI_10,0.04244400213792687,10
OLCI_3,0.042165803228272125,3
OLCI_16,0.038312772681820206,16
OLCI_8,0.029835722059942782,8
OLCI_7,0.02838957243511686,7
