feature,coefficient,abs_coefficient
OLCI_3 OLCI_12,-0.0137960985,0.0137960985
OLCI_1^2,-0.013073528,0.013073528
OLCI_12,-0.012882989,0.012882989
OLCI_18,0.01280179,0.01280179
OLCI_1 OLCI_18,0.012673522,0.012673522
OLCI_1 OLCI_6,0.0126238745,0.0126238745
OLCI_2 OLCI_12,-0.012312612,0.012312612
OLCI_19,0.012123096,0.012123096
OLCI_2 OLCI_6,0.011852687,0.011852687
OLCI_1 OLCI_12,-0.01124255,0.01124255
OLCI_4 OLCI_6,0.011078839,0.011078839
OLCI_11,-0.010986723,0.010986723
OLCI_1 OLCI_19,0.010702231,0.010702231
OLCI_4^2,0.010357343,0.010357343
OLCI_3 OLCI_6,0.010226827,0.010226827
OLCI_4 OLCI_12,-0.010158021,0.010158021
OLCI_1 OLCI_2,-0.010121062,0.010121062
OLCI_16^2,0.010082309,0.010082309
OLCI_10,-0.009998527,0.009998527
OLCI_2 OLCI_18,0.009971271,0.009971271
OLCI_4 OLCI_5,0.009735932,0.009735932
OLCI_5 OLCI_6,0.009693606,0.009693606
OLCI_9,-0.009613219,0.009613219
OLCI_5 OLCI_12,-0.009467952,0.009467952
OLCI_6,0.009424915,0.009424915
OLCI_21,-0.009382803,0.009382803
OLCI_1 OLCI_14,0.009369452,0.009369452
OLCI_3 OLCI_11,-0.008990724,0.008990724
OLCI_6^2,0.008951676,0.008951676
OLCI_5^2,0.008912959,0.008912959
OLCI_12 OLCI_21,0.008244693,0.008244693
OLCI_2 OLCI_19,0.008154411,0.008154411
OLCI_12 OLCI_16,0.00811526,0.00811526
OLCI_3 OLCI_15,-0.00777408,0.00777408
OLCI_3 OLCI_10,-0.0077355932,0.0077355932
OLCI_16 OLCI_20,0.007694505,0.007694505
OLCI_12 OLCI_20,0.007604287,0.007604287
OLCI_8,-0.007596297,0.007596297
OLCI_2^2,-0.007558235,0.007558235
OLCI_2 OLCI_11,-0.007542098,0.007542098
OLCI_19^2,-0.007339066,0.007339066
OLCI_10^2,-0.0073111774,0.0073111774
OLCI_1 OLCI_17,0.0073019825,0.0073019825
OLCI_2 OLCI_14,0.0072412496,0.0072412496
OLCI_6 OLCI_21,-0.0072386125,0.0072386125
OLCI_3 OLCI_5,0.007231616,0.007231616
OLCI_3 OLCI_4,0.0072277915,0.0072277915
OLCI_16,-0.0071338806,0.0071338806
OLCI_16 OLCI_21,0.0071303546,0.0071303546
OLCI_4,0.0071301246,0.0071301246
OLCI_19 OLCI_21,-0.007071004,0.007071004
OLCI_5,0.006881861,0.006881861
OLCI_14^2,-0.006814222,0.006814222
OLCI_1,0.00676106,0.00676106
OLCI_17,0.0067378893,0.0067378893
OLCI_2 OLCI_5,0.0066016586,0.0066016586
OLCI_13 OLCI_20,0.0065724915,0.0065724915
OLCI_1 OLCI_11,-0.0065354733,0.0065354733
OLCI_18 OLCI_19,-0.0064719683,0.0064719683
OLCI_11 OLCI_16,0.006441618,0.006441618
OLCI_1 OLCI_5,0.0063847005,0.0063847005
OLCI_3 OLCI_16,-0.0061974963,0.0061974963
OLCI_13 OLCI_16,0.0061728572,0.0061728572
OLCI_11 OLCI_20,0.0060535185,0.0060535185
OLCI_1 OLCI_21,0.0060013137,0.0060013137
OLCI_18^2,-0.0059727086,0.0059727086
OLCI_6 OLCI_12,-0.0059722364,0.0059722364
OLCI_5 OLCI_21,-0.0059337383,0.0059337383
OLCI_2 OLCI_10,-0.005909397,0.005909397
OLCI_15 OLCI_16,0.005906672,0.005906672
OLCI_4 OLCI_11,-0.005868557,0.005868557
OLCI_5 OLCI_15,-0.005837759,0.005837759
OLCI_18 OLCI_21,-0.0057559228,0.0057559228
