feature,coefficient,abs_coefficient
OLCI_6,-0.02159678,0.02159678
OLCI_12,0.020005662,0.020005662
OLCI_15,-0.019157123,0.019157123
OLCI_19,-0.019117512,0.019117512
OLCI_18,0.016454719,0.016454719
OLCI_16,0.014562614,0.014562614
OLCI_21,-0.0137006,0.0137006
OLCI_14,-0.012548448,0.012548448
OLCI_5,-0.012456706,0.012456706
OLCI_17,0.012316581,0.012316581
OLCI_1,0.010707078,0.010707078
OLCI_2,0.010545266,0.010545266
OLCI_20,0.010185279,0.010185279
OLCI_11,0.008076181,0.008076181
OLCI_13 OLCI_20,-0.007877984,0.007877984
OLCI_4,-0.007838358,0.007838358
OLCI_1 OLCI_20,0.0072672004,0.0072672004
OLCI_13 OLCI_21,-0.0071058683,0.0071058683
OLCI_4 OLCI_20,0.0066760173,0.0066760173
OLCI_2 OLCI_14,-0.0064308997,0.0064308997
OLCI_3 OLCI_20,0.0059814444,0.0059814444
OLCI_4 OLCI_9,0.0058254674,0.0058254674
OLCI_14^2,0.0057529686,0.0057529686
OLCI_4 OLCI_13,0.0055430806,0.0055430806
OLCI_2 OLCI_20,0.0054840613,0.0054840613
OLCI_7,-0.005317298,0.005317298
OLCI_2 OLCI_15,-0.0053143324,0.0053143324
OLCI_1 OLCI_14,-0.00520433,0.00520433
OLCI_1 OLCI_13,0.0051671043,0.0051671043
OLCI_10,0.005099454,0.005099454
OLCI_21^2,0.0050646947,0.0050646947
OLCI_9,0.0050219214,0.0050219214
OLCI_9^2,0.004590667,0.004590667
OLCI_1 OLCI_9,0.0044984873,0.0044984873
OLCI_13 OLCI_19,-0.0044350508,0.0044350508
OLCI_3 OLCI_14,-0.0044230097,0.0044230097
OLCI_1 OLCI_15,-0.0041315663,0.0041315663
OLCI_11 OLCI_20,-0.004037361,0.004037361
OLCI_3 OLCI_13,0.0040107374,0.0040107374
OLCI_5 OLCI_20,0.0037628696,0.0037628696
OLCI_4 OLCI_7,0.0037327907,0.0037327907
OLCI_13 OLCI_14,0.0036820434,0.0036820434
OLCI_18^2,0.0036355497,0.0036355497
OLCI_13,-0.003623176,0.003623176
OLCI_3^2,-0.0035985084,0.0035985084
OLCI_3 OLCI_9,0.0035849959,0.0035849959
OLCI_10 OLCI_20,-0.0035649056,0.0035649056
OLCI_10 OLCI_21,-0.0035174899,0.0035174899
OLCI_1^2,0.0035144603,0.0035144603
OLCI_2 OLCI_13,0.0035072193,0.0035072193
OLCI_7 OLCI_9,0.0034787063,0.0034787063
OLCI_3 OLCI_15,-0.00340469,0.00340469
OLCI_5 OLCI_9,0.0033916594,0.0033916594
OLCI_11^2,-0.0033157985,0.0033157985
OLCI_15 OLCI_18,0.0032874737,0.0032874737
OLCI_4 OLCI_12,0.00322714,0.00322714
OLCI_4 OLCI_8,0.0032079355,0.0032079355
OLCI_14 OLCI_15,0.0031834096,0.0031834096
OLCI_6 OLCI_14,-0.0031330395,0.0031330395
OLCI_2 OLCI_21,-0.0030728984,0.0030728984
OLCI_3 OLCI_5,-0.0030675621,0.0030675621
OLCI_10 OLCI_19,-0.0030655602,0.0030655602
OLCI_2 OLCI_5,-0.0030429382,0.0030429382
OLCI_11 OLCI_21,-0.0030262815,0.0030262815
OLCI_11 OLCI_19,-0.0030258188,0.0030258188
OLCI_5 OLCI_14,-0.002973373,0.002973373
OLCI_2 OLCI_6,-0.002960423,0.002960423
OLCI_2 OLCI_9,0.002949022,0.002949022
OLCI_18 OLCI_21,0.0029327844,0.0029327844
OLCI_2 OLCI_17,-0.0029244716,0.0029244716
OLCI_14 OLCI_18,0.0028559128,0.0028559128
OLCI_15 OLCI_21,0.0028194727,0.0028194727
OLCI_10 OLCI_11,-0.0028112277,0.0028112277
OLCI_14 OLCI_20,-0.0027855204,0.0027855204
OLCI_2 OLCI_3,-0.002770345,0.002770345
OLCI_11 OLCI_13,-0.0027633603,0.0027633603
OLCI_17 OLCI_18,0.0027325922,0.0027325922
OLCI_4 OLCI_19,0.002727761,0.002727761
OLCI_4 OLCI_18,0.0027239912,0.0027239912
OLCI_5 OLCI_13,0.002695938,0.002695938
OLCI_3 OLCI_6,-0.0025971818,0.0025971818
OLCI_4 OLCI_10,0.0025479933,0.0025479933
OLCI_15^2,0.002465468,0.002465468
OLCI_6 OLCI_15,-0.0024590122,0.0024590122
OLCI_16 OLCI_20,-0.0024306644,0.0024306644
OLCI_8 OLCI_21,-0.002428741,0.002428741
OLCI_11 OLCI_16,-0.0024219719,0.0024219719
OLCI_1 OLCI_7,0.002404726,0.002404726
OLCI_10 OLCI_14,-0.0023892734,0.0023892734
OLCI_6^2,-0.002362066,0.002362066
OLCI_8 OLCI_20,-0.0023379931,0.0023379931
OLCI_10 OLCI_16,-0.0022912426,0.0022912426
OLCI_9 OLCI_12,0.0022542262,0.0022542262
OLCI_5^2,-0.0022539275,0.0022539275
OLCI_10^2,-0.0022537215,0.0022537215
OLCI_10 OLCI_17,-0.002251201,0.002251201
OLCI_7^2,0.0022447724,0.0022447724
OLCI_15 OLCI_17,0.0022282107,0.0022282107
OLCI_10 OLCI_13,-0.0022160672,0.0022160672
OLCI_4 OLCI_11,0.0021761477,0.0021761477
OLCI_8,0.0021577901,0.0021577901
OLCI_8 OLCI_9,0.0021571529,0.0021571529
OLCI_11 OLCI_17,-0.0021229158,0.0021229158
OLCI_5 OLCI_15,-0.0021186774,0.0021186774
OLCI_12 OLCI_18,0.002112026,0.002112026
OLCI_11 OLCI_14,-0.002111345,0.002111345
OLCI_4 OLCI_16,0.0021040253,0.0021040253
OLCI_5 OLCI_6,-0.0020526636,0.0020526636
OLCI_8 OLCI_19,-0.0020096917,0.0020096917
OLCI_2 OLCI_18,-0.0019864268,0.0019864268
OLCI_14 OLCI_17,0.0019851318,0.0019851318
OLCI_6 OLCI_9,0.0019747904,0.0019747904
OLCI_10 OLCI_15,-0.0019678022,0.0019678022
OLCI_13^2,0.0019616387,0.0019616387
OLCI_1 OLCI_21,-0.0019267818,0.0019267818
OLCI_4 OLCI_21,0.0019198566,0.0019198566
OLCI_17 OLCI_21,0.0019100932,0.0019100932
OLCI_13 OLCI_17,-0.0019054468,0.0019054468
OLCI_2 OLCI_16,-0.0018982228,0.0018982228
OLCI_13 OLCI_16,-0.0018943135,0.0018943135
OLCI_1 OLCI_8,0.0018655122,0.0018655122
OLCI_8 OLCI_11,-0.0018051383,0.0018051383
OLCI_11 OLCI_15,-0.0018034588,0.0018034588
OLCI_17^2,0.0017976386,0.0017976386
OLCI_12 OLCI_20,-0.0017828667,0.0017828667
OLCI_9 OLCI_18,0.0017826436,0.0017826436
OLCI_1 OLCI_17,-0.0017724097,0.0017724097
OLCI_6 OLCI_11,-0.0017690695,0.0017690695
OLCI_4 OLCI_17,0.0017285341,0.0017285341
OLCI_18 OLCI_19,0.0017102016,0.0017102016
OLCI_6 OLCI_17,-0.001697516,0.001697516
OLCI_13 OLCI_18,-0.0016492544,0.0016492544
OLCI_6 OLCI_21,-0.0016247355,0.0016247355
OLCI_19 OLCI_21,0.0015749293,0.0015749293
OLCI_6 OLCI_16,-0.0015308214,0.0015308214
OLCI_10 OLCI_18,-0.0014928267,0.0014928267
OLCI_12 OLCI_15,0.0014807101,0.0014807101
OLCI_17 OLCI_20,-0.0014691056,0.0014691056
OLCI_8 OLCI_14,-0.0014429251,0.0014429251
OLCI_16 OLCI_18,0.001438412,0.001438412
