band,importance,band_number
OLCI_21,0.21861176977818525,21
OLCI_1,0.1844161145860239,1
OLCI_20,0.08120559143528826,20
OLCI_2,0.06580342306253345,2
OLCI_13,0.05345709235867186,13
OLCI_14,0.04187719871348727,14
OLCI_3,0.03490596755990616,3
OLCI_18,0.0335855988387675,18
OLCI_19,0.032339010607394476,19
OLCI_6,0.029316274444965373,6
OLCI_15,0.02686794712610388,15
OLCI_17,0.026720820659814237,17
OLCI_4,0.025686520420621736,4
OLCI_12,0.025231732717594168,12
OLCI_5,0.024001079525900474,5
OLCI_7,0.020045148238197173,7
OLCI_16,0.017619820535800756,16
OLCI_11,0.01612039095147066,11
OLCI_8,0.014297979603157235,8
OLCI_9,0.014078740734685742,9
OLCI_10,0.013811778101430397,10
