band,importance,band_number
OLCI_21,0.10495343354027356,21
OLCI_20,0.1016204168242354,20
OLCI_13,0.06618954876830892,13
OLCI_14,0.061390677366374505,14
OLCI_1,0.060576683056477086,1
OLCI_19,0.05225259538513033,19
OLCI_2,0.051623188181224744,2
OLCI_3,0.04930315880153553,3
OLCI_6,0.047467675714743224,6
OLCI_18,0.04393039821931324,18
OLCI_4,0.04055155262642024,4
OLCI_15,0.04042853538224169,15
OLCI_16,0.03754135401365296,16
OLCI_5,0.03683356425569969,5
OLCI_12,0.03629438233954032,12
OLCI_17,0.03344687485128319,17
OLCI_7,0.032459370094997345,7
OLCI_11,0.029779246466959907,11
OLCI_9,0.02700128485709693,9
OLCI_10,0.02378645001697215,10
OLCI_8,0.022569609237519175,8
